strike,bid,implied_volatility,last_price,volume,open_interest,expiration,days_to_expiration,rentabilidad_diaria,rentabilidad_anual,break_even,percent_diff,underlying_price,historical_volatility,ticker,grupo,alerta_excluida_por,fecha_ejecucion
170.0,3.95,43.01814794921876,4.0,976.0,4273.0,2026-09-25,8,2.3327695806846678,186.3663443390155,166.0,3.1900624015862826,171.47,55.16,PLTR,Shortlist_ruben,,2026-09-16 19:14:08
55.0,2.0,69.67803759765626,2.01,161.0,569.0,2026-10-02,15,3.4673106779368634,129.19769847650636,52.99,8.59065033638088,57.97,71.49,ASTS,Shortlist_ruben,,2026-09-16 19:14:08
55.0,3.15,69.92217578125,3.18,1322.0,18261.0,2026-10-16,29,5.4855959979299636,95.8456469490022,51.82,10.608935656373983,57.97,71.49,ASTS,Shortlist_ruben,,2026-09-16 19:14:08
