strike,bid,implied_volatility,last_price,volume,open_interest,expiration,days_to_expiration,rentabilidad_diaria,rentabilidad_anual,break_even,percent_diff,underlying_price,historical_volatility,ticker,grupo,alerta_excluida_por,fecha_ejecucion
45.0,1.81,69.28741650390626,1.89,171.0,3455,2026-04-17,12,4.081191967177715,237.60289169752292,43.11,6.909954653422592,46.31,62.78,AFRM,zacks_rank1,,2026-04-04 16:25:59
44.0,2.31,70.16631396484375,3.99,2000.0,1013,2026-05-01,26,8.615849708486287,219.06955359405015,40.01,13.603973223925728,46.31,62.78,AFRM,zacks_rank1,,2026-04-04 16:25:59
110.0,1.63,55.81098876953126,1.82,272.0,715,2026-04-10,5,1.5957913195966682,217.6342800847119,108.18,5.146865409907927,114.05,49.24,NEM,zacks_rank1,,2026-04-04 16:25:59
