strike,bid,implied_volatility,last_price,volume,open_interest,expiration,days_to_expiration,rentabilidad_diaria,rentabilidad_anual,break_even,percent_diff,underlying_price,historical_volatility,ticker,grupo,alerta_excluida_por,fecha_ejecucion
410.0,11.05,50.36670727539063,11.67,1424.0,2258,2026-06-26,6,2.8370001215509904,448.388647093474,398.33,3.165187796280549,411.35,66.77,AVGO,Top 10 SP500,,2026-06-19 17:48:51
400.0,6.95,51.355466918945304,7.1,1451.0,1877,2026-06-26,6,1.7260240670961466,183.21589600665354,392.9,4.485231554637181,411.35,66.77,AVGO,Top 10 SP500,,2026-06-19 17:48:51
400.0,10.05,51.61791546630858,10.5,176.0,543,2026-07-02,12,2.552570803452048,115.25716553987229,389.5,5.311778290993076,411.35,66.77,AVGO,Top 10 SP500,,2026-06-19 17:48:51
400.0,14.8,36.60341717529296,16.0,530.0,705,2026-07-17,27,3.990422984836393,69.71680417835495,384.0,4.229848363926571,400.96,26.58,UNH,Top 10 SP500,,2026-06-19 17:48:51
390.0,10.5,37.25038336181641,11.3,315.0,1329,2026-07-17,27,2.8182362330407025,45.60307301051909,378.7,5.5516759776536295,400.96,26.58,UNH,Top 10 SP500,,2026-06-19 17:48:51
