strike,bid,implied_volatility,last_price,volume,open_interest,expiration,days_to_expiration,rentabilidad_diaria,rentabilidad_anual,break_even,percent_diff,underlying_price,historical_volatility,ticker
127.0,3.5,59.49747534179688,3.5,2697,1913,2025-06-13,4,2.7403695584090197,1078.6300900249867,123.5,3.3041027247103028,127.72,69.81,PLTR
126.0,3.0,59.32657861328126,3.05,6383,1493,2025-06-13,4,2.3880363294707174,761.4712051233382,122.95,3.7347322267460035,127.72,69.81,PLTR
125.0,2.62,59.4730615234375,2.64,7104,2407,2025-06-13,4,2.0670216097713747,546.8395640183275,122.36,4.19668023802067,127.72,69.81,PLTR
29.5,0.47,87.7930908203125,0.8,576,292,2025-06-13,4,2.5649246553382494,908.4316346150741,28.7,7.9833279897403076,31.19,77.43,ASTS
29.0,0.61,98.1445498046875,0.7,917,258,2025-06-13,4,2.2443090734209683,657.8302456211009,28.3,9.265790317409428,31.19,77.43,ASTS
30.0,1.54,93.8477177734375,1.56,448,1829,2025-06-20,11,5.001603077909587,405.03267948362327,28.44,8.816928502725233,31.19,77.43,ASTS
