strike,bid,implied_volatility,last_price,volume,open_interest,expiration,days_to_expiration,rentabilidad_diaria,rentabilidad_anual,break_even,percent_diff,underlying_price,historical_volatility,ticker,grupo,alerta_excluida_por,fecha_ejecucion
410.0,4.25,50.74512145996093,4.34,277.0,1496.0,2026-09-18,2,1.0304627585060664,549.460072970925,405.66,3.682598475674903,421.17,47.06,AMAT,validea_top_nasdaq100,,2026-09-15 22:03:56
400.0,1.96,51.72167419433593,2.07,347.0,2491.0,2026-09-18,2,0.4914879977206353,144.6769425448377,397.93,5.5179618681292615,421.17,47.06,AMAT,validea_top_nasdaq100,,2026-09-15 22:03:56
265.0,3.55,57.78850805664062,3.9,364.0,888.0,2026-09-18,2,1.4398050725440248,1258.4200845832352,261.1,3.6068962971166916,270.87,54.54,LRCX,validea_top_nasdaq100,,2026-09-15 22:03:56
260.0,2.32,59.2045095214844,2.72,158.0,1940.0,2026-09-18,2,1.0041717429024994,519.3332284224508,257.28,5.01716690663419,270.87,54.54,LRCX,validea_top_nasdaq100,,2026-09-15 22:03:56
